MSISDN_ENCR_INT,CHURN_TAG,FEATURE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30
3000300.00,0,WALLET_BALANCE,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,,0.0045,0.005,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
3000400.00,0,MBB_TOTAL_USAGE,394.72018,17.9552,35.31079,27.48881,294.62025,205.58366,120.70842,16.7992,5.87073,22.07588,25.83369,533.4752,215.68653,4.76109,7.4648,6.68006,4.21424,6.2698,251.69421,32.82728,15.79218,244.16797,48.18886,496.57955,20.07128,20.92433,22.40505,35.43105,170.39001,754.69329
3000400.00,0,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.892284000
3000400.00,0,REMAINING_DATA_BAL_MB,622,622,622,243,243,222,1690,1485,1485,1368,1358,1358,1358,1358,839,637,637,0,0,0,1024,758,758,758,505,496,0,0,0,0
3000400.00,0,TOTAL_REVENUE_WT,0,0,198,108,0,0,0,0,0,198,0,0,0,0.0108,0,0,0,109,0,0,0,0,0,0.0036,198,0,0,306,0,0
3000400.00,0,TOTAL_VOICE_USAGE,13.85,21.83333,20.61667,18.05,12.86667,20.66667,9.7,50.65,42.75,21.68333,31.61667,56.16667,28.23333,5.58333,16.51667,10.78333,5.78333,0.38333,3.35,3.45,4.43333,8.85,13.88333,7.96667,18.5,31.21667,35.73333,69.88333,14.06667,11.91667
3000400.00,0,WALLET_BALANCE,0.01,0.01,0.01,0.01,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.011,0.011,0.011,0.011,0.0002,0.0002,0.0002,0.0002,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0,0.0005,0.0005,0.0005,0.001
3000500.00,1,MBB_TOTAL_USAGE,,312.13244,207.65042,176.46049,792.69108,404.92274,357.86451,525.69416,182.48652,175.63169,438.16178,195.77524,487.566,177.52852,12.66161,0.36705,,,,,,,,,,,,,,
3000500.00,1,PAYG_MB_RATIO,,54.14386400,5.994903000,3.407542000,-1,-1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3000500.00,1,REMAINING_DATA_BAL_MB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3000500.00,1,TOTAL_REVENUE_WT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3000500.00,1,TOTAL_VOICE_USAGE,,0.86667,0,0,0.41667,0.85,5.01667,2,9.55,0,4.05,3.06667,0,60.25,9.63333,0,,,,,,,,,,,,,,
3000500.00,1,WALLET_BALANCE,,0.0015,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,

